Year_Birth,Education,Marital_Status,Income,Children,Teens,DaysSinceLastPurchase,Alcohol,Fruits,Meats,Vegetables,Grains,Discounts,WebPurchases,StorePurchases
1957,Graduate,Married,44000,1,1,24,22,1,7,0,0,1,1,2
1983,College,Single,44000,1,0,77,8,0,7,2,1,1,1,2
1982,Graduate,Married,44000,1,0,53,14,10,10,4,7,1,2,3
1965,College,Married,44000,0,1,73,213,5,9,7,7,1,4,6
1974,Graduate,Single,45000,0,1,25,14,0,6,0,0,1,1,2
1966,College,Married,45000,0,1,99,54,0,6,0,0,1,2,3
1966,College,Married,45000,0,1,99,54,0,6,0,0,1,2,3
1967,College,Single,45000,0,1,0,78,0,7,0,0,1,2,3
1980,College,Single,45000,1,1,35,19,1,6,2,0,1,1,3
1958,College,Single,45000,1,1,9,8,2,6,3,0,1,1,2
1979,Graduate,Married,45000,1,0,80,37,0,6,3,0,1,2,3
1982,College,Single,45000,2,0,4,35,3,22,10,8,1,3,3
1981,Graduate,Single,45000,0,0,31,728,17,44,11,8,1,7,13
1962,Graduate,Single,45000,0,0,33,219,3,20,12,9,1,4,7
1944,Graduate,Single,45000,0,0,90,162,25,18,16,0,1,3,7
1988,College,Single,45000,1,0,93,30,11,8,29,1,1,1,4
1962,College,Divorced,46000,2,1,3,14,0,0,0,0,1,1,2
1955,Graduate,Single,46000,1,1,25,38,0,6,0,0,1,1,3
1955,Graduate,Single,46000,1,1,25,38,0,6,0,0,1,1,3
1974,College,Married,46000,0,2,15,27,2,6,0,2,1,1,3
1980,College,Single,46000,0,1,42,31,0,6,0,1,1,1,3
1976,Graduate,Single,46000,1,1,84,30,0,7,2,0,1,1,2
1945,Graduate,Single,46000,0,0,9,56,19,10,2,14,1,3,3
1948,Graduate,Married,46000,0,1,10,145,1,11,2,1,1,4,4
1955,Graduate,Divorced,46000,0,1,56,95,14,21,2,9,1,4,3
1973,College,Married,46000,1,1,62,12,2,7,3,2,1,1,3
1978,Graduate,Married,46000,1,0,89,37,0,15,4,3,1,2,3
1975,Graduate,Married,46000,1,0,54,97,4,15,6,1,1,3,4
1971,College,Single,46000,1,0,37,5,1,6,10,0,1,1,2
1989,College,Single,46000,1,0,78,31,9,9,16,9,1,1,4
1986,Graduate,Married,46000,0,0,23,102,9,16,24,3,1,2,6
1965,Graduate,Divorced,47000,1,1,6,16,0,6,0,0,1,1,2
1960,College,Single,47000,1,1,55,12,1,6,0,0,1,0,2
1956,College,Single,47000,1,1,71,19,1,7,2,1,1,1,3
1958,College,Single,47000,0,0,4,288,10,10,4,10,1,6,6
1965,College,Married,47000,0,1,91,43,12,8,29,15,1,2,4
1965,College,Married,47000,0,1,91,43,12,8,29,15,1,2,4
1961,Graduate,Single,48000,0,1,2,28,0,6,0,0,1,1,3
1979,College,Single,48000,0,1,43,14,0,6,0,0,1,1,2
1974,College,Single,48000,1,0,94,29,0,10,0,5,1,2,3
1965,College,Married,48000,1,1,55,23,0,7,3,2,1,1,3
1967,College,Single,48000,1,1,54,9,0,16,6,6,1,1,3
1980,College,Married,48000,1,0,72,42,7,14,20,12,1,3,4
1953,College,Married,49000,1,2,8,10,0,6,2,0,1,1,2
1950,Graduate,Married,49000,1,1,90,26,1,7,2,0,1,1,3
1966,College,Divorced,49000,0,1,27,102,1,15,2,0,1,3,4
1951,Graduate,Single,49000,1,1,55,40,0,6,2,1,1,2,3
1976,Graduate,Single,49000,0,1,63,81,1,10,2,1,1,1,5
1953,College,Single,49000,1,1,97,25,0,7,3,0,1,1,3
1992,College,Single,49000,0,0,94,351,16,52,7,5,1,6,7
1968,College,Married,49000,0,1,13,19,13,6,10,7,1,1,3
1979,College,Single,49000,1,0,32,23,17,8,43,20,1,2,4
1970,College,Married,50000,2,0,4,85,7,8,2,3,1,3,3
1952,College,Divorced,50000,0,1,71,18,10,6,3,5,1,1,3
1962,College,Single,50000,0,1,88,274,0,7,4,6,1,5,6
1966,Graduate,Married,50000,0,0,65,42,16,10,12,20,1,2,4
1991,College,Single,50000,0,0,92,202,47,66,55,42,1,5,8
1977,Graduate,Married,50000,0,0,72,141,15,51,67,31,1,4,6
1953,Graduate,Single,51000,1,2,81,14,0,6,0,0,1,0,3
1940,Graduate,Single,51000,0,0,96,144,0,6,0,0,1,3,4
1952,Graduate,Married,51000,0,1,13,53,0,7,0,0,1,2,3
1955,College,Married,51000,0,1,61,78,0,7,0,0,1,2,4
1950,Graduate,Single,51000,0,1,71,30,2,8,0,1,1,1,4
1956,Graduate,Single,51000,0,1,49,31,0,6,2,0,1,1,3
1956,Graduate,Single,51000,0,1,49,31,0,6,2,0,1,1,3
1946,Graduate,Married,51000,0,0,86,102,9,21,2,9,1,4,4
1946,Graduate,Married,51000,0,0,86,102,9,21,2,9,1,4,4
1948,College,Single,51000,0,0,45,68,28,13,16,30,1,2,5
1991,College,Married,51000,0,0,37,83,2,34,64,26,1,3,3
1978,College,Single,52000,2,1,2,12,0,6,0,0,1,1,2
1967,College,Single,52000,0,1,77,59,0,7,0,0,1,2,2
1965,Graduate,Single,52000,0,1,55,98,1,6,0,1,1,3,4
1987,Graduate,Married,52000,0,0,60,1166,0,16,0,0,1,4,10
1976,Graduate,Married,52000,0,1,81,152,3,7,2,5,1,4,4
1959,College,Divorced,52000,0,0,63,212,5,11,7,0,1,3,6
1958,College,Married,52000,0,0,88,99,27,34,28,48,1,2,8
1950,College,Single,52000,0,0,36,488,21,79,56,108,1,8,11
1967,Graduate,Single,53000,0,1,54,85,0,6,0,0,1,2,4
1951,Graduate,Married,53000,0,0,32,241,0,7,0,0,1,5,5
1959,College,Married,53000,0,1,50,129,0,7,0,1,1,3,4
1976,Graduate,Married,53000,1,1,40,29,0,7,2,0,1,1,3
1957,College,Married,53000,0,1,18,28,0,7,3,0,1,1,3
1963,Graduate,Married,54000,1,1,71,35,0,6,0,0,1,2,2
1973,Graduate,Single,54000,1,1,78,12,0,6,0,0,1,1,2
1950,Graduate,Married,54000,2,1,37,33,0,6,0,0,1,1,3
1969,Graduate,Single,54000,0,1,81,30,1,7,0,0,1,1,3
1973,Graduate,Married,54000,0,1,98,199,12,10,3,12,1,3,5
1967,College,Single,54000,0,1,79,135,9,13,4,0,1,2,5
1978,College,Single,54000,1,1,31,5,6,7,6,5,1,1,3
1969,College,Single,54000,0,0,72,127,4,24,15,6,1,2,7
1956,Graduate,Single,55000,0,1,81,97,1,6,2,0,1,2,4
1970,Graduate,Divorced,55000,1,0,9,125,6,24,8,4,1,3,6
1977,College,Single,55000,0,1,3,42,11,19,10,28,1,1,6
1976,Graduate,Divorced,55000,1,1,65,10,5,9,11,1,1,2,3
1977,Graduate,Married,56000,0,1,19,451,0,13,0,4,1,7,8
1978,College,Divorced,56000,0,1,22,29,1,7,2,0,1,2,3
1962,College,Married,56000,0,1,6,121,103,23,8,44,1,4,7
1944,Graduate,Divorced,56000,0,0,85,504,13,44,8,0,1,9,6
1971,Graduate,Married,57000,0,1,83,34,1,6,2,7,1,1,3
1961,College,Single,57000,0,0,0,464,5,21,7,0,1,7,7
1981,College,Divorced,57000,0,0,91,908,48,72,32,12,1,2,13
1967,College,Divorced,57000,0,0,18,267,140,200,34,12,1,7,7
1973,College,Single,57000,0,0,19,181,21,23,39,3,1,3,6
1974,College,Single,57000,0,0,52,258,105,80,237,172,1,7,4
1951,Graduate,Single,58000,2,1,84,68,1,7,3,5,1,2,4
1951,Graduate,Divorced,58000,0,1,68,50,1,9,6,7,1,1,4
1960,College,Divorced,58000,0,1,55,10,0,7,17,29,1,1,2
1975,College,Single,58000,0,1,87,445,53,71,104,98,1,6,13
1975,College,Single,58000,0,1,87,445,53,71,104,98,1,6,13
1965,College,Married,59000,0,1,21,301,11,20,4,7,1,8,4
1962,Graduate,Married,59000,0,1,3,62,1,15,6,5,1,2,4
1962,Graduate,Married,59000,0,1,3,62,1,15,6,5,1,2,4
1956,College,Single,59000,0,1,44,513,14,51,19,0,1,9,9
1954,College,Married,59000,0,0,90,524,0,45,28,28,1,11,8
1981,College,Single,59000,0,0,71,479,35,60,28,7,1,5,12
1951,Graduate,Married,59000,0,0,56,90,67,55,30,43,1,4,8
1953,Graduate,Married,59000,0,2,59,295,21,26,39,13,1,4,7
1970,Graduate,Married,60000,0,1,26,73,0,7,0,1,1,2,3
1965,College,Married,60000,0,1,74,457,4,10,0,0,1,8,7
1978,College,Single,60000,1,2,49,8,1,6,2,0,1,0,3
1893,College,Single,60000,0,1,23,8,0,6,7,0,1,1,2
1972,Graduate,Married,60000,0,0,47,130,30,56,20,34,1,3,7
1965,College,Single,60000,0,1,78,89,15,30,34,42,1,4,6
1976,Graduate,Single,60000,0,1,81,255,43,45,37,14,1,7,7
1979,College,Single,60000,0,1,6,325,83,100,86,58,1,6,12
1965,College,Married,61000,0,0,39,48,58,23,16,66,1,3,6
1955,Graduate,Single,61000,0,0,76,618,15,35,20,7,1,11,8
1978,Graduate,Single,61000,1,0,34,562,58,56,43,16,1,5,10
1970,College,Single,61000,0,0,73,466,0,75,119,49,1,5,4
1982,College,Single,61000,0,0,25,848,154,108,201,61,1,10,10
1952,Graduate,Single,62000,0,1,25,899,0,34,0,0,1,6,13
1974,Graduate,Married,62000,1,1,83,46,4,12,2,2,1,2,4
1961,Graduate,Married,62000,0,2,94,92,4,6,3,3,1,2,4
1952,College,Single,62000,0,1,94,87,13,11,10,6,1,4,4
1964,Graduate,Single,62000,0,0,13,338,4,30,11,8,1,4,9
1965,College,Single,62000,0,1,8,279,83,29,32,14,1,4,10
1957,College,Married,62000,0,0,49,792,0,92,45,45,1,4,5
1979,College,Single,62000,0,1,56,162,50,33,55,30,1,4,8
1979,College,Single,62000,0,1,56,162,50,33,55,30,1,4,8
1946,Graduate,Single,62000,0,0,68,182,17,86,77,70,1,6,10
1987,Graduate,Divorced,62000,0,0,71,621,73,138,78,48,1,8,6
1960,College,Divorced,62000,0,2,38,317,46,82,151,46,1,4,12
1964,College,Single,62000,0,0,20,1000,155,126,224,17,1,4,4
1955,College,Single,63000,0,1,13,163,48,30,0,45,1,3,8
1980,College,Single,63000,1,0,74,224,12,16,4,12,1,6,4
1954,Graduate,Divorced,63000,0,1,76,104,12,16,4,12,1,2,5
1974,Graduate,Married,63000,0,0,65,750,8,42,11,8,1,4,6
1967,Graduate,Married,63000,0,2,60,593,30,30,29,22,1,6,12
1967,Graduate,Single,63000,0,0,21,796,14,197,38,44,1,4,13
1969,Graduate,Single,63000,0,1,74,581,49,52,43,8,1,5,11
1945,College,Single,63000,0,0,84,508,124,83,50,38,1,6,13
1954,Graduate,Married,63000,0,1,57,539,30,31,80,46,1,5,13
1945,Graduate,Single,63000,0,0,45,521,168,235,80,76,1,3,4
1974,Graduate,Single,63000,0,0,74,965,34,195,89,86,1,3,8
1992,College,Single,63000,0,0,68,438,169,188,91,169,1,2,6
1953,College,Divorced,63000,0,0,27,125,16,33,134,21,1,6,4
1954,College,Married,63000,0,0,51,398,61,88,138,61,1,3,6
1954,College,Married,63000,0,0,51,398,61,88,138,61,1,3,6
1959,College,Divorced,63000,0,0,82,194,61,160,225,112,1,3,8
1964,Graduate,Married,64000,0,1,93,509,0,9,0,0,1,8,6
1970,Graduate,Single,64000,0,1,27,200,5,15,0,10,1,5,5
1952,College,Divorced,64000,0,0,42,176,29,273,0,33,1,7,11
1956,College,Married,64000,0,1,50,423,184,123,13,97,1,6,6
1954,College,Married,64000,0,0,0,769,80,84,15,34,1,10,7
1968,Graduate,Divorced,64000,0,1,64,635,15,33,20,7,1,9,9
1968,Graduate,Divorced,64000,0,1,64,635,15,33,20,7,1,9,9
1968,Graduate,Divorced,64000,0,1,64,635,15,33,20,7,1,9,9
1961,College,Single,64000,0,0,1,539,169,272,20,0,1,4,4
1956,College,Single,64000,0,1,8,316,58,54,76,51,1,6,4
1978,College,Single,64000,0,0,28,359,35,105,93,116,1,7,13
1982,College,Married,65000,0,0,23,1074,0,23,0,0,1,10,13
1990,College,Single,65000,0,0,19,836,185,192,24,25,1,6,9
1980,Graduate,Single,65000,0,0,19,365,32,39,34,110,1,3,13
1968,College,Married,65000,0,0,98,920,138,56,36,46,1,9,10
1958,Graduate,Single,65000,0,0,46,603,45,69,36,18,1,3,6
1957,College,Single,65000,0,1,29,245,19,42,37,67,1,4,10
1943,Graduate,Married,65000,0,0,65,629,17,59,69,0,1,5,5
1944,College,Married,65000,0,0,9,388,14,73,91,14,1,4,13
1957,College,Single,65000,0,0,42,652,48,117,94,84,1,9,6
1973,College,Married,65000,0,0,60,713,0,88,120,80,1,7,12
1984,College,Married,65000,0,0,1,71,22,37,138,89,1,2,13
1978,College,Married,65000,1,0,81,293,0,41,179,97,1,7,10
1956,Graduate,Single,65000,0,0,78,556,14,239,210,0,1,7,10
1956,Graduate,Single,65000,0,0,78,556,14,239,210,0,1,7,10
1972,College,Married,66000,0,1,54,642,14,16,0,7,1,9,9
1972,College,Married,66000,0,1,54,642,14,16,0,7,1,9,9
1964,Graduate,Married,66000,0,1,22,397,19,23,12,0,1,4,8
1964,Graduate,Married,66000,0,1,22,397,19,23,12,0,1,4,8
1970,College,Divorced,66000,0,0,77,918,10,43,13,0,1,11,12
1974,Graduate,Single,66000,0,1,74,204,7,50,20,15,1,5,8
1967,College,Single,66000,0,0,87,565,32,145,28,32,1,2,6
1972,College,Single,66000,0,0,18,279,172,25,38,8,1,2,10
1965,College,Single,66000,0,0,68,251,108,111,65,92,1,4,5
1945,Graduate,Married,66000,0,0,68,562,81,92,80,40,1,6,6
1947,Graduate,Single,66000,0,0,36,244,51,90,101,0,1,1,5
1976,College,Married,66000,0,1,77,225,162,129,106,36,1,5,8
1978,College,Married,66000,0,0,99,267,38,234,149,165,1,5,10
1978,College,Married,67000,0,0,93,444,44,127,11,8,1,3,13
1958,College,Married,67000,0,1,0,134,11,20,15,2,1,3,5
1969,Graduate,Single,67000,0,0,83,789,25,140,16,38,1,2,9
1967,College,Single,67000,0,0,73,243,101,135,29,40,1,4,6
1946,Graduate,Married,67000,0,0,21,620,26,65,34,17,1,6,13
1946,Graduate,Married,67000,0,0,21,620,26,65,34,17,1,6,13
1957,Graduate,Single,67000,0,0,64,291,10,230,84,10,1,3,9
1987,College,Single,67000,0,0,6,595,97,97,127,133,1,11,12
1989,Graduate,Single,67000,0,0,98,466,22,144,147,113,1,8,12
1988,College,Single,67000,0,0,46,277,162,102,173,76,1,3,7
1982,College,Single,67000,0,0,78,398,96,149,220,96,1,5,6
1982,College,Single,67000,0,0,78,398,96,149,220,96,1,5,6
1951,Graduate,Single,68000,0,1,8,546,0,16,0,6,1,7,8
1976,Graduate,Married,68000,0,1,6,760,80,155,17,13,1,6,5
1991,Graduate,Single,68000,0,0,40,1332,17,104,23,51,1,7,5
1980,College,Single,68000,0,1,73,90,38,22,33,36,1,4,6
1988,College,Married,68000,0,0,48,758,12,128,33,89,1,9,13
1988,College,Married,68000,0,0,48,758,12,128,33,89,1,9,13
1957,Graduate,Single,68000,0,0,86,389,66,136,37,57,1,4,6
1958,College,Single,68000,0,0,31,995,112,139,42,48,1,2,13
1959,Graduate,Single,68000,0,0,0,431,82,147,80,20,1,3,6
1969,Graduate,Married,68000,0,0,6,561,64,262,84,128,1,3,8
1988,Graduate,Married,68000,0,0,90,864,134,256,150,38,1,4,5
1988,Graduate,Married,68000,0,0,90,864,134,256,150,38,1,4,5
1987,College,Single,68000,0,0,84,336,28,94,184,54,1,2,6
1958,College,Single,69000,0,1,4,247,49,53,7,82,1,5,10
1965,College,Single,69000,0,1,14,492,5,11,13,5,1,9,7
1959,Graduate,Divorced,69000,0,1,73,182,2,16,17,13,1,3,7
1965,College,Married,69000,0,1,23,86,12,25,33,15,1,4,5
1965,College,Married,69000,0,1,23,86,12,25,33,15,1,4,5
1949,College,Single,69000,0,0,10,997,26,90,34,13,1,10,6
1982,College,Single,69000,0,0,45,395,15,88,60,54,1,2,6
1969,Graduate,Single,69000,0,0,3,260,86,186,63,9,1,4,4
1966,Graduate,Married,69000,0,1,16,666,35,41,69,8,1,5,5
1977,Graduate,Married,69000,0,1,17,422,7,79,69,46,1,7,12
1988,College,Single,69000,0,0,95,456,19,277,75,118,1,4,11
1988,College,Single,69000,0,0,95,456,19,277,75,118,1,4,11
1991,Graduate,Single,69000,0,0,56,919,0,168,99,30,1,4,10
1991,Graduate,Single,69000,0,0,56,919,0,168,99,30,1,4,10
1969,College,Single,69000,0,0,3,458,81,119,106,50,1,4,7
1969,College,Single,69000,0,0,3,458,81,119,106,50,1,4,7
1946,Graduate,Married,69000,0,0,4,482,34,157,119,68,1,3,9
1982,College,Married,69000,0,0,10,823,25,153,124,29,1,6,7
1982,College,Married,69000,0,0,10,823,25,153,124,29,1,6,7
1949,Graduate,Married,69000,0,0,82,1315,22,260,145,0,1,7,9
1967,College,Divorced,69000,0,0,81,1132,134,128,175,134,1,11,13
1983,Graduate,Single,70000,0,0,27,1308,0,132,23,0,1,5,4
1979,College,Single,70000,0,0,75,187,81,50,25,43,1,2,12
1980,Graduate,Married,70000,0,0,80,656,16,35,32,16,1,7,12
1986,Graduate,Single,70000,0,0,30,196,0,171,33,130,1,3,8
1965,Graduate,Married,70000,0,0,64,882,29,171,38,29,1,4,6
1982,Graduate,Single,70000,0,0,54,587,54,116,71,54,1,4,8
1982,Graduate,Single,70000,0,0,54,587,54,116,71,54,1,4,8
1978,College,Single,70000,0,0,49,690,117,166,76,102,1,5,7
1947,College,Single,70000,0,0,6,303,23,250,82,26,1,6,13
1972,Graduate,Married,70000,0,0,73,707,44,201,95,58,1,2,12
1945,College,Married,70000,0,0,23,217,77,124,111,23,1,3,12
1983,College,Married,70000,0,0,95,627,120,138,121,80,1,9,5
1966,College,Divorced,70000,0,0,30,295,35,161,121,120,1,5,10
1965,Graduate,Single,70000,0,0,94,292,127,212,132,127,1,3,9
1974,College,Single,70000,0,0,99,273,86,69,177,14,1,2,5
1949,College,Single,70000,0,0,60,161,0,84,199,191,1,3,11
1971,College,Single,70000,0,0,21,252,98,276,219,70,1,4,12
1953,College,Married,71000,0,0,73,1379,33,72,0,33,1,2,9
1955,Graduate,Divorced,71000,0,0,69,1016,12,72,16,12,1,4,10
1985,College,Single,71000,0,0,68,347,44,178,17,0,1,3,12
1985,College,Single,71000,0,0,68,347,44,178,17,0,1,3,12
1984,Graduate,Married,71000,0,0,66,1218,107,101,23,143,1,5,4
1976,College,Single,71000,0,1,31,121,24,41,24,15,1,4,7
1970,College,Married,71000,0,0,45,353,61,251,40,46,1,3,7
1959,College,Single,71000,0,0,24,227,23,130,42,21,1,4,7
1959,College,Single,71000,0,0,24,227,23,130,42,21,1,4,7
1952,Graduate,Single,71000,0,1,29,138,39,21,55,18,1,4,7
1976,Graduate,Single,71000,0,0,42,768,44,187,77,44,1,6,10
1974,Graduate,Single,71000,0,0,86,412,12,182,78,182,1,4,10
1971,College,Married,71000,1,0,65,407,70,80,103,88,1,5,4
1948,College,Single,71000,0,0,29,398,40,122,119,122,1,7,4
1965,College,Married,71000,0,0,41,635,114,85,132,152,1,6,7
1965,College,Married,71000,0,0,41,635,114,85,132,152,1,6,7
1995,College,Single,71000,0,0,30,283,17,124,138,106,1,3,12
1993,College,Single,71000,0,0,12,420,0,151,182,64,1,6,4
1985,College,Married,71000,0,0,66,239,10,185,254,87,1,3,9
1962,Graduate,Single,72000,0,0,8,1462,16,43,0,0,1,5,6
1976,Graduate,Single,72000,0,0,2,1285,105,218,28,21,1,10,8
1952,College,Single,72000,0,0,87,631,28,164,30,14,1,6,8
1978,Graduate,Married,72000,0,0,62,322,53,300,34,40,1,4,10
1949,College,Married,72000,0,0,46,967,0,206,43,50,1,4,13
1976,Graduate,Single,72000,0,0,64,960,0,294,50,38,1,5,8
1962,Graduate,Single,72000,0,0,93,816,42,150,55,56,1,3,8
1949,College,Single,72000,0,0,52,625,35,56,58,17,1,4,6
1977,College,Married,72000,0,1,34,707,20,57,65,60,1,9,9
1969,College,Married,72000,0,0,56,377,10,180,80,30,1,3,7
1951,College,Single,72000,0,0,70,503,27,140,90,139,1,5,9
1979,College,Married,72000,0,0,94,546,72,125,94,145,1,5,8
1945,Graduate,Single,72000,0,0,3,345,53,176,98,75,1,8,5
1956,College,Married,72000,0,1,85,184,178,59,103,39,1,6,10
1965,College,Nonmarried,72000,0,0,26,426,49,42,111,21,1,8,10
1974,College,Married,72000,0,0,18,546,91,137,119,0,1,3,10
1981,College,Single,72000,0,0,55,1003,34,179,134,51,1,4,6
1982,College,Single,72000,0,0,29,358,108,138,141,97,1,2,6
1982,College,Single,72000,0,0,29,358,108,138,141,97,1,2,6
1962,College,Single,72000,0,0,27,833,33,183,151,133,1,4,8
1971,College,Single,72000,0,0,54,354,21,104,167,75,1,9,4
1965,College,Married,72000,0,0,79,597,166,199,172,166,1,5,4
1958,College,Divorced,72000,0,0,81,587,51,311,180,34,1,5,5
1993,College,Single,72000,0,0,67,315,26,158,220,12,1,2,6
1958,Graduate,Single,72000,0,0,0,336,130,137,240,32,1,4,5
1984,Graduate,Married,73000,0,0,56,1050,14,107,0,14,1,5,5
1947,Graduate,Single,73000,0,1,36,410,112,140,0,82,1,9,13
1947,Graduate,Single,73000,0,1,36,410,112,140,0,82,1,9,13
1985,College,Single,73000,0,0,74,1067,138,250,0,19,1,7,8
1987,Graduate,Married,73000,0,0,94,272,7,27,20,7,1,4,6
1969,College,Married,73000,0,0,10,236,106,63,23,41,1,7,9
1960,Graduate,Single,73000,0,0,86,741,19,51,50,9,1,3,7
1975,College,Single,73000,0,0,1,184,174,85,50,30,1,5,6
1987,Graduate,Single,73000,0,0,95,982,73,117,56,14,1,2,6
1955,College,Single,73000,0,0,79,400,32,173,71,75,1,3,9
1982,Graduate,Single,73000,0,0,85,1142,51,138,90,69,1,7,11
1955,College,Married,73000,0,0,54,390,22,108,104,35,1,6,6
1955,College,Married,73000,0,0,54,390,22,108,104,35,1,6,6
1949,College,Single,73000,0,0,60,526,80,184,123,94,1,3,7
1969,College,Single,73000,0,1,65,619,54,87,127,54,1,4,5
1963,Graduate,Divorced,73000,0,0,8,1092,37,197,145,37,1,5,8
1984,College,Married,73000,0,0,67,274,83,72,151,141,1,4,12
1970,College,Married,73000,0,0,13,182,74,99,162,149,1,3,6
1958,College,Married,73000,0,0,52,407,114,148,181,165,1,3,9
1968,College,Single,73000,0,0,98,901,61,252,186,163,1,6,10
1953,College,Single,74000,0,0,40,703,102,200,0,58,1,3,8
1975,Graduate,Divorced,74000,0,0,9,1001,12,80,16,12,1,5,10
1987,Graduate,Single,74000,0,0,5,784,48,187,42,176,1,4,4
1958,Graduate,Single,74000,0,0,90,680,11,131,75,0,1,2,4
1990,Graduate,Married,74000,0,0,3,863,83,182,86,99,1,8,5
1993,College,Single,74000,0,0,66,375,152,112,93,91,1,5,6
1993,College,Single,74000,0,0,66,375,152,112,93,91,1,5,6
1955,College,Married,74000,0,0,83,199,66,105,97,174,1,4,5
1976,College,Married,74000,0,0,14,783,30,179,140,76,1,4,9
1982,College,Single,74000,0,0,53,871,111,235,145,55,1,4,10
1973,College,Single,74000,0,0,54,627,91,199,159,91,1,6,12
1947,College,Single,74000,0,0,58,499,149,272,173,49,1,6,12
1990,College,Married,74000,0,0,8,559,153,168,218,13,1,3,9
1964,College,Married,75000,0,1,27,438,66,133,12,38,1,8,13
1958,College,Single,75000,0,1,38,204,97,32,21,118,1,5,10
1955,Graduate,Single,75000,0,0,17,1239,17,138,23,34,1,5,5
1969,College,Single,75000,0,0,78,972,59,304,25,19,1,5,6
1952,College,Single,75000,0,0,92,203,35,102,46,17,1,2,5
1952,College,Single,75000,0,0,92,203,35,102,46,17,1,2,5
1992,College,Single,75000,0,0,40,571,12,174,63,60,1,3,5
1978,College,Single,75000,0,0,25,795,0,182,95,58,1,8,10
1972,Graduate,Married,75000,0,0,34,721,111,308,97,18,1,7,5
1970,Graduate,Single,75000,0,0,16,918,57,281,99,38,1,5,6
1971,College,Single,75000,0,0,21,380,98,244,110,112,1,8,5
1949,College,Single,75000,0,0,63,570,73,205,133,102,1,6,11
1965,College,Single,75000,0,0,2,610,105,42,137,42,1,9,9
1954,Graduate,Single,75000,0,0,73,960,64,155,146,0,1,6,9
1952,College,Single,75000,0,0,17,304,98,77,150,74,1,6,13
1958,Graduate,Single,75000,0,1,79,543,10,68,160,143,1,6,6
1976,Graduate,Divorced,75000,0,0,41,294,142,73,164,58,1,3,11
1977,College,Married,75000,0,0,8,587,51,299,247,0,1,3,7
1960,Graduate,Single,76000,0,0,78,760,53,133,17,93,1,4,11
1948,Graduate,Single,76000,0,0,57,586,66,218,17,0,1,5,6
1980,Graduate,Single,76000,0,0,15,840,53,268,23,71,1,5,8
1975,College,Married,76000,0,1,67,1115,12,43,33,12,1,2,4
1962,College,Single,76000,0,0,85,292,30,138,63,33,1,4,4
1962,College,Single,76000,0,0,85,292,30,138,63,33,1,4,4
1987,College,Married,76000,0,0,33,754,160,208,63,32,1,7,12
1982,Graduate,Single,76000,0,0,12,712,26,179,69,13,1,3,11
1982,Graduate,Single,76000,0,0,12,712,26,179,69,13,1,3,11
1968,College,Divorced,76000,0,0,10,797,153,98,72,97,1,11,6
1969,College,Married,76000,0,0,46,1394,22,236,89,91,1,9,9
1979,College,Single,76000,0,0,56,709,93,125,104,80,1,8,6
1979,College,Single,76000,0,0,56,709,93,125,104,80,1,8,6
1972,Graduate,Married,76000,0,1,21,519,50,56,130,0,1,8,11
1971,College,Married,76000,1,0,2,739,107,103,140,80,1,2,13
1974,College,Single,76000,0,1,87,1073,0,210,145,37,1,10,13
1943,Graduate,Married,76000,0,0,73,483,0,197,156,0,1,3,10
1968,College,Single,76000,0,0,60,265,138,184,224,23,1,4,9
1955,College,Single,76000,0,0,72,983,20,130,240,50,1,3,13
1981,College,Single,76000,1,0,27,340,21,45,258,14,1,7,8
1981,College,Single,76000,1,0,27,340,21,45,258,14,1,7,8
1956,Graduate,Single,77000,0,0,91,794,73,191,0,29,1,4,10
1947,College,Single,77000,0,0,85,675,11,133,15,45,1,2,10
1979,College,Single,77000,0,1,46,425,115,97,23,35,1,6,11
1979,College,Single,77000,0,1,46,425,115,97,23,35,1,6,11
1948,College,Married,77000,0,0,54,476,75,54,29,151,1,4,8
1963,College,Married,77000,0,0,70,560,21,147,29,44,1,4,13
1965,College,Married,77000,0,0,33,173,26,85,35,71,1,4,7
1983,College,Married,77000,0,0,93,255,31,149,40,56,1,3,11
1957,College,Divorced,77000,0,0,84,408,61,36,48,122,1,5,9
1962,College,Single,77000,0,1,68,411,106,49,54,115,1,5,7
1967,College,Divorced,77000,0,0,19,464,151,97,65,60,1,8,4
1950,Graduate,Single,77000,0,0,37,605,10,115,84,54,1,1,7
1954,College,Divorced,77000,0,0,79,516,56,150,86,33,1,2,11
1965,College,Married,77000,0,0,28,227,151,191,98,54,1,3,9
1975,Graduate,Married,77000,0,0,64,749,40,98,121,160,1,3,5
1960,Graduate,Married,77000,0,1,3,463,96,111,168,53,1,7,12
1969,College,Single,77000,0,0,91,736,63,315,219,189,1,4,11
1959,Graduate,Married,78000,0,1,30,940,44,132,0,88,1,8,7
1989,Graduate,Single,78000,0,0,40,760,40,160,0,40,1,3,12
1947,Graduate,Single,78000,0,0,73,1200,105,253,0,42,1,4,6
1947,Graduate,Single,78000,0,0,53,368,32,213,13,43,1,4,5
1958,Graduate,Single,78000,0,0,20,881,38,106,16,25,1,4,10
1956,Graduate,Single,78000,0,1,38,158,19,96,25,0,1,6,9
1954,College,Single,78000,0,0,18,613,22,106,33,102,1,4,9
1972,Graduate,Married,78000,0,0,72,572,8,86,34,35,1,3,5
1959,College,Divorced,78000,0,1,51,752,122,159,39,153,1,10,11
1957,College,Single,78000,0,0,12,912,72,57,47,36,1,11,4
